,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
1750,1750,httpsa-z-animalscomanimalsnorthern fur seal.html,Northern Fur Seal,Animalia,Chordata,Mammalia,Carnivora,Pinnipedia,Callorhinus,Callorhinus ursinus,"Herring, mackerel, squid and other fish",Pup,Solitary,Dense underfur means they don’t need blubber to stay warm,1.1 million,"Ocean pollution, fishing gear entanglements, climate change","Dense, chestnut-colored underfur",Alaska fur seal,365 days,Open ocean and rocky or sandy beaches,Carnivore,1,,Northern fur seal,1.0,"Northern Pacific, Bering Sea, Sea of Okhotsk",,Rookery or haul out,Fur,14 mph,18 to 27 years,130 to 660 pounds,5 to 10 feet,"4 to 6 years for females, 5 to 6 years for males",4 months,,,,,,
1751,1751,httpsa-z-animalscomanimalsnorthern harrier.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,1752,httpsa-z-animalscomanimalsnorthern inuit dog.html,Northern Inuit Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Carnivore,,,Northern Inuit Dog,,,,,Hair,,12 to 15 years,,,,,"Intelligent, friendly, and loyal",,Northern Inuit Dog,,,northern inuit dog
1753,1753,httpsa-z-animalscomanimalsnorthern jacana.html,Northern Jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,Jacana Spinosa,"insects, small fish, snails, worms, crabs, mollusks, and seeds",Chicks,Social,"The northern jacana is one of two species found in the Americas, from the United States to Panama.","500,000 to 5 million",Habitat loss,yellow wattle on its forehead and the yellowish-green flight feathers,,,"coastal areas in marshes, swamps, ponds, and lake margins",Carnivore,,Diurnal,Northern jacana,,North America,,,Feathers,,6.5 years on average,3 to 5 ounces,8 inches,2 years,,,,,,,
1754,1754,httpsa-z-animalscomanimalsnorthern parula.html,Northern Parula,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga Americana,"Spider and insects, including beetles, wasps, and ants.",Chicks,"Flock</li><li class=""list-item"">Pair",They live in coffee and citrus plantations during the winter,18 million,Habitat loss and climate change,Bright yellow throats and chest,,,Mature forests with hanging canopy,Insectivore,,Diurnal,Northern parula,33.0,North America and South America,,,Feathers,,4-5 years,0.2 to 0.4 ounces,4.3 to 4.7 inches,Less than one year,,,,,,,
1755,1755,httpsa-z-animalscomanimalsnorthern pintail.html,Northern Pintail,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta,,,Social,Northern pintails migrate at night with speeds reaching 48 miles per hour!,5.1 million,,,,,,,,,,,,,,,46 mph,Up to 22 years,17.6 to 51.1 ounces,20.1 to 29.9 inches,,,,,,,,
1756,1756,httpsa-z-animalscomanimalsnorthern potoo.html,Northern Potoo,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,,Flying insects and birds,Chick,Solitary/Pairs,You can find them near golf courses in urban areas,"50,000 and 500,000",Habitat loss,Giant gaping mouth,,,Wet and dry forests and mangroves,,,Nocturnal,Northern potoo,3.0,North America and South America,,,Feathers,,12 to 14 years,12 to 23 ounces,14 to 20 inches,,,,,,,,
1757,1757,httpsa-z-animalscomanimalsnorthern screamer.html,Northern Screamer,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Chauna,Chauna Chavaria,"This species eats aquatic vegetation like roots, stems, grasses, and seeds.",Hatchlings or chicks,"Group</li><li class=""list-item"">Pair",They are closely related to magpie geese,"1,500 to 7,000",Habitat loss and overhunting,Red eyering,,,Wetlands in lowland tropical forests,,,Diurnal,Northern screamer,2.0,Colombia and Venezuela,,,Feathers,,15 to 35 years,,30 to 36 inches,More than two years,,,,,,,
1758,1758,httpsa-z-animalscomanimalsnorthern water snake.html,Northern Water Snake,Animalia,Chordata,Reptilia,Squamata,Serpentes,Nerodia,Nerodia sipedon,"Fish, amphibians, smaller reptiles, rodents, small mammals, invertebrates",,,Northern watersnakes’ teeth help them nab fish as they swim by.,,,,Common water snake,,,Carnivore,12-36,,Northern water snake,,,,,Scales,,9 years in captivity; unknown in the wild,,2 ft 3.5 in to 4.5 ft,,,,,,,,
1759,1759,httpsa-z-animalscomanimalsnorway rat.html,Norway Rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
